	"nº of trxG 
target proteins"	"trxG enrichment 
p-value"	"TSS distance to 
closest PRE"
dme-miR-210-5p	8	0.0038807637658697567	1952.0
dme-miR-2501-3p	6	0.000647557994536789	1137.0
dme-miR-289-5p	16	0.0028386628817358953	2329.0
dme-miR-972-5p	15	0.008587380913957525	635.0
dme-miR-973-3p	6	0.001310133284962002	1011.0
