miRNAs	n_geneset	hyper_pval
dme-miR-31b-3p	1	0.5897636819381823
dme-miR-4955-3p	1	0.5372533943645115
dme-miR-1-5p	0	
dme-miR-979-5p	0	
dme-miR-309-5p	3	0.21570331163383055
dme-miR-981-5p	2	0.6361985650526053
dme-miR-3645-3p	4	0.2241384395218309
dme-miR-4958-3p	1	0.39413047085035663
dme-miR-988-5p	4	0.13684023979851462
dme-miR-927-3p	1	0.681435486399825
dme-miR-1016-5p	5	0.15536535279944327
dme-miR-304-3p	1	0.8892263832733563
dme-miR-9b-3p	1	0.5922745375416473
dme-miR-2283-3p	7	0.001676788025266622
dme-miR-3644-3p	6	0.1207187751414026
dme-miR-974-3p	5	0.12712765825547748
dme-miR-8-5p	3	0.28851172029475003
dme-miR-9371-3p	4	0.34648820048307993
dme-miR-4916-3p	7	0.10100670704694266
dme-miR-993-5p	0	
dme-miR-9384-3p	7	0.06819423855349656
dme-miR-4949-3p	2	0.5209184426388314
dme-miR-966-5p	5	0.030601356739903527
dme-miR-9378-5p	4	0.01361634355656863
dme-miR-9372-3p	2	0.43118153704266626
dme-miR-4979-5p	12	0.008672815971523109
dme-miR-287-3p	3	0.3424111305253338
dme-miR-964-3p	8	0.02012904356388172
dme-miR-4963-5p	4	0.29107983159608797
dme-miR-4984-3p	6	0.12374234138675487
dme-miR-4944-3p	5	0.19990941409672464
dme-miR-2501-5p	5	0.3439460513674974
dme-miR-314-5p	4	0.3610854598377358
dme-miR-4917-3p	2	0.275881037650989
dme-miR-2494-5p	1	0.8466791043154661
dme-miR-986-5p	0	
dme-miR-276a-3p	1	0.5511851026385859
dme-miR-276b-3p	1	0.5511851026385859
dme-miR-10-5p	1	0.278418617511138
dme-miR-283-5p	4	0.3286615916291257
dme-miR-263a-5p	1	0.658283644654268
dme-miR-314-3p	1	0.8232866508004565
dme-miR-985-3p	6	0.45217575439891816
dme-miR-994-3p	3	0.2535137803203494
dme-miR-963-3p	1	0.6987387850396873
dme-miR-4983-5p	0	
dme-miR-4985-5p	3	0.35245133947615637
dme-miR-4955-5p	0	
dme-miR-2489-5p	5	0.093054713390506
dme-miR-955-3p	4	0.593190642564457
dme-miR-2497-3p	3	0.38252226503016207
dme-miR-2c-5p	0	
dme-miR-4951-3p	0	
dme-miR-997-5p	2	0.2788501585937256
dme-miR-9375-5p	0	
dme-miR-278-5p	0	
dme-miR-4977-3p	3	0.08888558513002284
dme-miR-9371-5p	1	0.7384065844999367
dme-miR-2490-3p	1	0.7667681143191025
dme-miR-9377-5p	3	0.2089340414758816
dme-miR-2491-5p	4	0.20755137437025858
dme-miR-2495-5p	1	0.6350217612572128
dme-miR-4966-3p	5	0.02284855084013789
dme-miR-4979-3p	2	0.628796124847309
dme-miR-987-3p	1	0.8359044727027701
dme-miR-954-3p	6	0.005160271358431401
dme-miR-4950-3p	3	0.31121838023537596
dme-miR-4963-3p	2	0.743787959635229
dme-miR-4945-5p	4	0.355901654044933
dme-miR-4919-3p	0	
dme-miR-4965-3p	0	
dme-miR-1003-3p	0	
dme-miR-1004-3p	0	
dme-miR-33-3p	10	0.009791715532904298
dme-miR-1014-5p	4	0.18853804623362438
dme-miR-9379-3p	0	
dme-miR-317-5p	0	
dme-miR-92b-5p	1	0.40141567023429653
dme-miR-274-3p	7	0.13823126129741994
dme-miR-2a-1-5p	3	0.2502708998519991
dme-miR-2501-3p	6	0.000647557994536789
dme-miR-137-5p	1	0.7157270089943426
dme-miR-962-3p	0	
dme-miR-252-5p	5	0.1566531114346463
dme-miR-4968-3p	0	
dme-miR-5-5p	1	0.722722211893324
dme-miR-965-5p	0	
dme-miR-1001-5p	0	
dme-miR-954-5p	1	0.584697293878074
dme-miR-4978-5p	0	
dme-miR-995-5p	0	
dme-miR-4980-3p	0	
dme-miR-981-3p	2	0.5120159239566889
dme-miR-978-3p	0	
dme-miR-4913-3p	2	0.35119912807751014
dme-miR-967-3p	5	0.20241833874855927
dme-miR-977-5p	2	0.48736110483335127
dme-miR-989-5p	1	0.5353647087879242
dme-miR-3643-3p	2	0.31221376615653157
dme-miR-8-3p	3	0.38529895029059663
dme-let-7-5p	1	0.367954894806712
dme-miR-305-5p	1	0.9130481230459093
dme-miR-973-5p	1	0.819513500614301
dme-miR-968-3p	4	0.20003674633276367
dme-miR-984-5p	0	
dme-miR-997-3p	2	0.22265955633293288
dme-miR-13a-5p	0	
dme-miR-4959-5p	2	0.4945705186240255
dme-miR-263b-3p	4	0.08698355928089485
dme-miR-1004-5p	4	0.06803619081261761
dme-miR-13b-1-5p	3	0.2616531044751004
dme-miR-9373-5p	10	0.003749333295921255
dme-miR-4960-3p	1	0.43202303021850935
dme-miR-33-5p	7	0.05555832788636232
dme-miR-274-5p	2	0.5433488646586664
dme-miR-281-3p	2	0.15259744426850227
dme-miR-4965-5p	1	0.5906022812300235
dme-miR-2281-5p	5	0.10617777019305152
dme-miR-4972-5p	0	
dme-miR-9379-5p	1	0.7289888522155629
dme-miR-133-5p	4	0.04922034287097309
dme-miR-317-3p	0	
dme-miR-4943-3p	0	
dme-miR-278-3p	0	
dme-miR-4941-3p	2	0.16651696235258115
dme-miR-3-3p	0	
dme-miR-309-3p	0	
dme-miR-318-3p	0	
dme-miR-966-3p	1	0.3577000042126688
dme-miR-2497-5p	3	0.2405902153357516
dme-miR-312-5p	1	0.5735129110221052
dme-miR-1009-3p	4	0.10355002559903764
dme-miR-9381-5p	1	0.37930346757691735
dme-miR-9380-3p	2	0.17924108749534348
dme-miR-14-3p	0	
dme-miR-2a-3p	2	0.4504701563254973
dme-miR-2b-3p	2	0.4504701563254973
dme-miR-2c-3p	2	0.4504701563254973
dme-miR-5-3p	2	0.4436187647967137
dme-miR-6-3p	2	0.45931270701955745
dme-miR-11-3p	3	0.19454718912856211
