miRNAs	n_geneset	hyper_pval
dme-miR-9371-3p	2	0.23068088527907563
dme-miR-4916-3p	3	0.11727089057539908
dme-miR-993-5p	0	
dme-miR-9384-3p	2	0.3217854696435064
dme-miR-4949-3p	0	
dme-miR-966-5p	2	0.10143004518366576
dme-miR-9378-5p	1	0.2562277950309762
dme-miR-9372-3p	0	
dme-miR-4979-5p	4	0.09158594410309857
dme-miR-287-3p	0	
dme-miR-964-3p	4	0.0158890287356211
dme-miR-4963-5p	1	0.5897927195436399
dme-miR-4984-3p	2	0.29070809387036023
dme-miR-4944-3p	3	0.06215345792193011
dme-miR-2501-5p	1	0.7250096394352408
dme-miR-314-5p	2	0.23797845269472287
dme-miR-4917-3p	1	0.2766252742364271
dme-miR-2494-5p	0	
dme-miR-986-5p	0	
dme-miR-276a-3p	0	
dme-miR-276b-3p	0	
dme-miR-10-5p	1	0.09546472553670643
dme-miR-283-5p	1	0.6118374811733784
dme-miR-263a-5p	0	
dme-miR-314-3p	0	
dme-miR-985-3p	3	0.2159863309464935
dme-miR-994-3p	1	0.4274502361882222
dme-miR-963-3p	1	0.308508075773651
dme-miR-4983-5p	0	
dme-miR-4985-5p	2	0.13220593751330806
dme-miR-4955-5p	0	
dme-miR-2489-5p	1	0.5484936493832094
dme-miR-955-3p	0	
dme-miR-2497-3p	1	0.508847318106021
dme-miR-2c-5p	0	
dme-miR-4951-3p	0	
dme-miR-997-5p	0	
dme-miR-9375-5p	0	
dme-miR-278-5p	0	
dme-miR-4977-3p	2	0.039917133303242425
dme-miR-9371-5p	0	
dme-miR-2490-3p	1	0.3608392309271399
dme-miR-9377-5p	0	
dme-miR-2491-5p	2	0.16056470602338674
dme-miR-2495-5p	0	
dme-miR-4966-3p	1	0.41158575419165166
dme-miR-4979-3p	1	0.4879060529877967
dme-miR-987-3p	0	
dme-miR-954-3p	1	0.411203387680697
dme-miR-4950-3p	0	
dme-miR-4963-3p	2	0.18388102651829863
dme-miR-4945-5p	2	0.23538533663022773
dme-miR-4919-3p	0	
dme-miR-4965-3p	0	
dme-miR-1003-3p	0	
dme-miR-1004-3p	0	
dme-miR-33-3p	6	0.0006057496896164156
dme-miR-1014-5p	0	
dme-miR-9379-3p	0	
dme-miR-317-5p	0	
dme-miR-92b-5p	1	0.14597502130156156
dme-miR-274-3p	2	0.40466883559586625
dme-miR-2a-1-5p	2	0.09554983581353703
dme-miR-2501-3p	2	0.04280839380190985
dme-miR-137-5p	1	0.3207393060904654
dme-miR-962-3p	0	
dme-miR-252-5p	4	0.007432820453455326
dme-miR-4968-3p	0	
dme-miR-5-5p	0	
dme-miR-965-5p	0	
dme-miR-1001-5p	0	
dme-miR-954-5p	0	
dme-miR-4978-5p	0	
dme-miR-995-5p	0	
dme-miR-4980-3p	0	
dme-miR-981-3p	1	0.4165367838682146
dme-miR-978-3p	0	
dme-miR-4913-3p	1	0.32203849738654783
dme-miR-967-3p	1	0.645790566936115
dme-miR-977-5p	1	0.4019611290641628
dme-miR-989-5p	1	0.2099690367052065
dme-miR-3643-3p	1	0.2987630612586157
dme-miR-8-3p	2	0.1446058322306639
dme-let-7-5p	0	
dme-miR-305-5p	0	
dme-miR-973-5p	1	0.4092882921535797
dme-miR-968-3p	2	0.15664394961006883
dme-miR-984-5p	0	
dme-miR-997-3p	1	0.24298712852663745
dme-miR-13a-5p	0	
dme-miR-4959-5p	0	
dme-miR-263b-3p	3	0.012259514062128279
dme-miR-1004-5p	2	0.0796891130300183
dme-miR-13b-1-5p	0	
dme-miR-9373-5p	2	0.35742126499359567
dme-miR-4960-3p	0	
dme-miR-33-5p	3	0.08440669494102199
dme-miR-274-5p	1	0.4352411719210827
dme-miR-281-3p	0	
dme-miR-4965-5p	0	
dme-miR-2281-5p	1	0.5637266216382533
dme-miR-4972-5p	0	
dme-miR-9379-5p	1	0.3306443445977934
dme-miR-133-5p	2	0.0658532598007655
dme-miR-317-3p	0	
dme-miR-4943-3p	0	
dme-miR-278-3p	0	
dme-miR-4941-3p	2	0.019927397616941536
dme-miR-3-3p	0	
dme-miR-309-3p	0	
dme-miR-318-3p	0	
dme-miR-966-3p	0	
dme-miR-2497-5p	3	0.012220505088642978
dme-miR-312-5p	0	
dme-miR-1009-3p	2	0.10277351151510626
dme-miR-9381-5p	0	
dme-miR-9380-3p	2	0.02178489450531786
dme-miR-14-3p	0	
dme-miR-2a-3p	0	
dme-miR-2b-3p	0	
dme-miR-2c-3p	0	
dme-miR-5-3p	0	
dme-miR-6-3p	0	
dme-miR-11-3p	0	
dme-miR-13a-3p	0	
dme-miR-13b-3p	0	
dme-miR-308-3p	0	
dme-miR-1010-3p	0	
dme-miR-927-5p	0	
dme-miR-125-3p	1	0.48006846416931914
dme-miR-4966-5p	0	
dme-miR-990-3p	0	
dme-miR-3642-3p	0	
dme-bantam-5p	0	
dme-miR-4954-3p	1	0.25434876776275717
dme-miR-2500-3p	3	0.14496861627887211
dme-miR-4973-3p	1	0.27982477829373503
dme-miR-932-3p	0	
dme-miR-277-5p	0	
dme-miR-1012-5p	0	
dme-miR-6-2-5p	0	
dme-miR-6-3-5p	0	
dme-miR-308-5p	0	
dme-miR-2a-2-5p	1	0.2811921992312543
dme-miR-990-5p	0	
dme-miR-4961-5p	0	
dme-miR-3-5p	1	0.32203849738654783
dme-miR-4944-5p	3	0.023970158456531807
dme-miR-958-3p	0	
dme-miR-998-5p	0	
dme-miR-284-3p	0	
dme-miR-977-3p	0	
dme-miR-969-3p	0	
dme-miR-959-5p	1	0.26370253712509373
