"miRNAs"	"n_geneset"	"hyper_pval"	"rFDRc_q"
"dme-miR-956-5p"	3	0.120777911730908	0.456619359965683
"dme-miR-303-5p"	2	0.122352793361859	0.459077202050373
"dme-miR-2492-3p"	4	0.123704614604748	0.459371523295006
"dme-miR-4985-5p"	2	0.132205937513308	0.461226486303945
"dme-miR-4967-5p"	3	0.142624928430101	0.463997771249601
"dme-miR-4939-3p"	1	0.142792446586287	0.465370188318621
"dme-miR-4958-3p"	1	0.142792446586287	0.465370188318621
"dme-miR-8-3p"	2	0.144605832230664	0.469843694518411
"dme-miR-2500-3p"	3	0.144968616278872	0.474499898594714
"dme-let-7-3p"	3	0.145115629159755	0.475802918498214
"dme-miR-92b-5p"	1	0.145975021301562	0.478109507205696
"dme-miR-964-5p"	2	0.150593814442945	0.480367356364124
"dme-miR-968-3p"	2	0.156643949610069	0.482708735762615
"dme-miR-2491-5p"	2	0.160564706023387	0.495169135459928
"dme-miR-929-5p"	2	0.174913785757821	0.505156208206825
"dme-miR-9370-5p"	2	0.177817285042576	0.506763762215122
"dme-miR-4963-3p"	2	0.183881026518299	0.508676053766643
"dme-miR-315-3p"	2	0.184557475715817	0.510174650780028
"dme-miR-2279-3p"	1	0.193496339496642	0.51250152284988
"dme-miR-974-3p"	2	0.199337663167568	0.513793317162563
"dme-miR-4970-5p"	1	0.204013355474039	0.51494395239743
"dme-miR-989-5p"	1	0.209969036705207	0.515838884464368
"dme-miR-4955-3p"	1	0.210957849959649	0.515990509419232
"dme-miR-375-3p"	2	0.21502824692413	0.516162193618858
"dme-miR-985-3p"	3	0.215986330946493	0.516294453544334
"dme-miR-281-2-5p"	1	0.220297700744727	0.517630477870421
"dme-miR-124-5p"	1	0.220297700744727	0.517630477870421
"dme-miR-9369-3p"	3	0.224065103105828	0.518444170601147
"dme-miR-4973-5p"	1	0.225660647225265	0.518623457108011
"dme-miR-9371-3p"	2	0.230680885279076	0.518997368113471
"dme-miR-2499-3p"	1	0.230991289440837	0.519153699831506
"dme-miR-9383-3p"	1	0.233403674710513	0.519175272953214
"dme-miR-4945-5p"	2	0.235385336630228	0.519282666871844
"dme-miR-137-3p"	2	0.236799278871921	0.519506162504126
"dme-miR-314-5p"	2	0.237978452694723	0.519691885348433
"dme-miR-9b-3p"	1	0.241078869034271	0.519855472934473
"dme-miR-4982-5p"	2	0.242229955167751	0.520167242916086
"dme-miR-997-3p"	1	0.242987128526637	0.520544551756744
"dme-miR-4954-3p"	1	0.254348767762757	0.521368625084363
"dme-miR-972-5p"	4	0.254510908863464	0.522067552578321
"dme-miR-9378-5p"	1	0.256227795030976	0.522405693009494
"dme-miR-4961-3p"	3	0.256552076487324	0.522562921333821
"dme-miR-969-5p"	1	0.257634345206285	0.522692979400429
"dme-miR-959-5p"	1	0.263702537125094	0.522755955268205
"dme-miR-4910-5p"	3	0.267046939448327	0.522812930059555
"dme-miR-280-5p"	3	0.267592767796356	0.522934495952819
"dme-miR-318-5p"	1	0.271572351229493	0.523331000247468
"dme-miR-219-3p"	1	0.274332306003482	0.524121244070309
"dme-miR-4917-3p"	1	0.276625274236427	0.52436852785094
"dme-miR-4973-3p"	1	0.279824778293735	0.524532908974232
"dme-miR-2a-2-5p"	1	0.281192199231254	0.525016352441
"dme-miR-4958-5p"	1	0.287543503603173	0.525238473510547
"dme-miR-4984-3p"	2	0.29070809387036	0.526042189479249
"dme-miR-970-3p"	1	0.297424929582968	0.526507231714734
"dme-miR-3643-3p"	1	0.298763061258616	0.527552833391609
"dme-miR-4984-5p"	1	0.306303767918833	0.527838533586407
"dme-miR-963-3p"	1	0.308508075773651	0.528236140515443
"dme-miR-4983-3p"	2	0.310936582567789	0.52855241974213
"dme-miR-978-5p"	1	0.312898312047613	0.529270016920336
"dme-miR-991-5p"	1	0.31682865208615	0.529484055305789
"dme-miR-4982-3p"	1	0.317264139807532	0.529502544104514
"dme-miR-2280-5p"	1	0.317264139807532	0.529502544104514
"dme-miR-137-5p"	1	0.320739306090465	0.529926565087003
"dme-miR-2496-5p"	1	0.321172611690522	0.530238656756067
"dme-miR-9384-3p"	2	0.321785469643506	0.530519297413561
"dme-miR-4913-3p"	1	0.322038497386548	0.531699884634556
"dme-miR-3-5p"	1	0.322038497386548	0.531699884634556
"dme-miR-313-5p"	1	0.327213545618687	0.531871517500403
"dme-miR-9374-5p"	1	0.329788083188365	0.532045703897345
"dme-miR-9379-5p"	1	0.330644344597793	0.5326659748867
"dme-miR-1010-5p"	1	0.341688955712664	0.532856933987079
"dme-miR-959-3p"	1	0.344214947395479	0.533067355772638
