"miRNAs"	"n_geneset"	"hyper_pval"	"rFDRc_q"
"dme-miR-2283-5p"	19	1.24552759425778e-05	0.00417251744076356
"dme-miR-2501-3p"	6	0.000647557994536789	0.0917872793741397
"dme-miR-956-5p"	11	0.00120899847027695	0.107744621427246
"dme-miR-973-3p"	6	0.001310133284962	0.109626916574748
"dme-miR-2283-3p"	7	0.00167678802526662	0.112143171917687
"dme-miR-2279-5p"	16	0.00177471957376577	0.128647063967116
"dme-miR-289-5p"	16	0.0028386628817359	0.13462027202521
"dme-miR-963-5p"	4	0.00328378607067745	0.135785259218074
"dme-miR-9373-5p"	10	0.00374933329592126	0.137380984274609
"dme-miR-210-5p"	8	0.00388076376586976	0.139400826709316
"dme-miR-954-3p"	6	0.0051602713584314	0.148797277673391
"dme-miR-1008-5p"	15	0.00535763012724812	0.156570138315641
"dme-miR-972-5p"	15	0.00858738091395752	0.203653144321576
"dme-miR-4979-5p"	12	0.00867281597152311	0.217823681483061
"dme-miR-33-3p"	10	0.0097917155329043	0.221089542507864
"dme-miR-9378-5p"	4	0.0136163435565686	0.280184347620224
"dme-miR-375-3p"	7	0.018690917334534	0.361918800766935
"dme-miR-964-3p"	8	0.0201290435638817	0.374139031845881
"dme-miR-193-5p"	5	0.0217152933383189	0.382090968091963
"dme-miR-4966-3p"	5	0.0228485508401379	0.382862471760793
"dme-miR-957-5p"	10	0.0240820675165392	0.384066976199795
"dme-miR-303-3p"	9	0.0265208754663225	0.386369835169523
"dme-miR-980-5p"	11	0.0294458867977527	0.393691846456232
"dme-miR-1013-3p"	8	0.0297091189502971	0.401792688080492
"dme-miR-7-3p"	13	0.0300312079179437	0.403731186953938
"dme-miR-966-5p"	5	0.0306013567399035	0.413855232912808
"dme-miR-9369-3p"	10	0.0311550551332321	0.418277415213709
"dme-miR-252-3p"	4	0.0356933506874618	0.426393979466851
"dme-miR-279-5p"	5	0.0362349705871839	0.428744181199467
"dme-miR-4908-3p"	4	0.0425276343117016	0.465004692955012
"dme-miR-958-5p"	4	0.043308814239729	0.470870966007905
"dme-miR-4985-3p"	2	0.0463701279849222	0.474600922601443
"dme-miR-2492-3p"	11	0.048075976396405	0.481735802244009
"dme-miR-987-5p"	7	0.0489504724954003	0.485196419551036
"dme-miR-133-5p"	4	0.0492203428709731	0.487843485468156
"dme-miR-992-3p"	4	0.0531089081665729	0.493567738535296
"dme-miR-33-5p"	7	0.0555583278863623	0.494194061162529
"dme-miR-4977-5p"	10	0.0564955860954737	0.496445488587373
"dme-miR-4911-3p"	9	0.0612514687576494	0.497943867169557
"dme-miR-975-3p"	3	0.0614821948798549	0.498547185974241
"dme-miR-4944-5p"	5	0.0618972052658894	0.502686584466901
"dme-miR-4967-5p"	8	0.0625095844346049	0.50430807805035
"dme-miR-2500-3p"	8	0.0647457729266665	0.505643094960923
"dme-let-7-3p"	8	0.0648872662483735	0.506434243865703
"dme-miR-1004-5p"	4	0.0680361908126176	0.514265556010889
"dme-miR-9384-3p"	7	0.0681942385534966	0.525271255046119
"dme-miR-2280-3p"	8	0.0748361521093686	0.532847215715976
"dme-miR-4951-5p"	2	0.0814225626629013	0.555993155034
"dme-miR-2281-3p"	4	0.081599680489508	0.567462691509994
"dme-miR-263b-3p"	4	0.0869835592808949	0.581672292418111
"dme-miR-4977-3p"	3	0.0888855851300228	0.583774260073867
"dme-miR-4958-5p"	3	0.0911820962600356	0.587148748932518
"dme-miR-2489-5p"	5	0.093054713390506	0.588118103333937
"dme-miR-982-3p"	4	0.0998133215059999	0.602208676927767
"dme-miR-4916-3p"	7	0.101006707046943	0.612507379248183
"dme-miR-1009-3p"	4	0.103550025599038	0.615072322905046
